0.000 	 1
0.010 	 1
0.020 	 1
0.030 	 1
0.040 	 1
0.050 	 1
0.060 	 1
0.070 	 1
0.080 	 1
0.090 	 1
0.100 	 1
0.110 	 1
0.120 	 1
0.130 	 1
0.140 	 1
0.150 	 1
0.160 	 1
0.170 	 1
0.180 	 1
0.190 	 1
0.200 	 1
0.210 	 1
0.220 	 1
0.230 	 1
0.240 	 1
0.250 	 1
0.260 	 1
0.270 	 1
0.280 	 1
0.290 	 1
0.300 	 1
0.310 	 1
0.320 	 1
0.330 	 1
0.340 	 1
0.350 	 1
0.360 	 1
0.370 	 1
0.380 	 1
0.390 	 1
0.400 	 1
0.410 	 1
0.420 	 1
0.430 	 1
0.440 	 1
0.450 	 1
0.460 	 1
0.470 	 1
0.480 	 1
0.490 	 1
0.500 	 1
0.510 	 1
0.520 	 1
0.530 	 1
0.540 	 1
0.550 	 1
0.560 	 1
0.570 	 1
0.580 	 1
0.590 	 1
0.600 	 1
0.610 	 1
0.620 	 1
0.630 	 1
0.640 	 1
0.650 	 1
0.660 	 1
0.670 	 1
0.680 	 1
0.690 	 1
0.700 	 1
0.710 	 1
0.720 	 1
0.730 	 1
0.740 	 1
0.750 	 1
0.760 	 1
0.770 	 1
0.780 	 1
0.790 	 1
0.800 	 1
0.810 	 1
0.820 	 1
0.830 	 1
0.840 	 1
0.850 	 1
0.860 	 1
0.870 	 1
0.880 	 1
0.890 	 1
0.900 	 1
0.910 	 1
0.920 	 1
0.930 	 1
0.940 	 1
0.950 	 1
0.960 	 1
0.970 	 1
0.980 	 1
0.990 	 1
1.000 	 1
1.010 	 1
1.020 	 1
1.030 	 1
1.040 	 1
1.050 	 1
1.060 	 1
1.070 	 1
1.080 	 1
1.090 	 1
1.100 	 1
1.110 	 1
1.120 	 1
1.130 	 1
1.140 	 1
1.150 	 1
1.160 	 1
1.170 	 1
1.180 	 1
1.190 	 1
1.200 	 1
1.210 	 1
1.220 	 1
1.230 	 1
1.240 	 1
1.250 	 1
1.260 	 1
1.270 	 1
1.280 	 1
1.290 	 1
1.300 	 1
1.310 	 1
1.320 	 1
1.330 	 1
1.340 	 1
1.350 	 1
1.360 	 1
1.370 	 1
