0	1.500 	1.500 	1.500 	1.500 	1.500 	1.500 	
0	3.000 	0.900 	0.300 	-0.300 	-0.900 	-3.750 	
1	24.000 	-0.108 	-0.084 	-0.156 	-2.052 	-89.062 	
2	2208.000 	0.144 	0.036 	-0.072 	-7.515 	-40105.957 	
3	19492224.000 	-0.148 	-0.014 	-0.031 	-76.793 	-8042639360.000 	
4	1519787062591488.000 	0.203 	0.006 	-0.013 	-7168.748 	-323420237002589601792.000 	
5	9239010663478378788046837383168.000 	-0.194 	-0.002 	-0.005 	-61677744.000 	-inf 	
6	inf 	0.278 	0.001 	-0.002 	-4564973099417600.000 	-inf 	
7	-nan 	-0.241 	-0.000 	-0.001 	-25006775649826958234298215301120.000 	-inf 	
8	-nan 	0.359 	0.000 	-0.000 	-inf 	-inf 	
9	-nan 	-0.276 	-0.000 	-0.000 	-inf 	-inf 	
10	-nan 	0.423 	0.000 	-0.000 	-inf 	-inf 	
11	-nan 	-0.293 	-0.000 	-0.000 	-inf 	-inf 	
12	-nan 	0.454 	0.000 	-0.000 	-inf 	-inf 	
13	-nan 	-0.298 	-0.000 	-0.000 	-inf 	-inf 	
14	-nan 	0.463 	0.000 	-0.000 	-inf 	-inf 	
15	-nan 	-0.298 	-0.000 	-0.000 	-inf 	-inf 	
16	-nan 	0.465 	0.000 	-0.000 	-inf 	-inf 	
17	-nan 	-0.299 	-0.000 	-0.000 	-inf 	-inf 	
18	-nan 	0.465 	0.000 	-0.000 	-inf 	-inf 	
19	-nan 	-0.299 	-0.000 	-0.000 	-inf 	-inf 	
