0	0.500 	0.500 	0.500 	0.500 	0.500 	0.500 	
0	-1.000 	-0.300 	-0.100 	0.100 	0.300 	1.250 	
1	8.000 	0.468 	0.044 	0.036 	0.252 	-1.562 	
2	224.000 	-0.299 	-0.017 	0.014 	0.226 	-20.020 	
3	199808.000 	0.466 	0.007 	0.005 	0.210 	-2104.006 	
4	159692144640.000 	-0.299 	-0.003 	0.002 	0.199 	-22144724.000 	
5	102006324394358875357184.000 	0.465 	0.001 	0.001 	0.191 	-2451944215937024.000 	
6	inf 	-0.299 	-0.000 	0.000 	0.186 	-30060153275662006603803814526976.000 	
7	-nan 	0.465 	0.000 	0.000 	0.181 	-inf 	
8	-nan 	-0.299 	-0.000 	0.000 	0.178 	-inf 	
9	-nan 	0.465 	0.000 	0.000 	0.176 	-inf 	
10	-nan 	-0.299 	-0.000 	0.000 	0.174 	-inf 	
11	-nan 	0.465 	0.000 	0.000 	0.172 	-inf 	
12	-nan 	-0.299 	-0.000 	0.000 	0.171 	-inf 	
13	-nan 	0.465 	0.000 	0.000 	0.170 	-inf 	
14	-nan 	-0.299 	-0.000 	0.000 	0.170 	-inf 	
15	-nan 	0.465 	0.000 	0.000 	0.169 	-inf 	
16	-nan 	-0.299 	-0.000 	0.000 	0.168 	-inf 	
17	-nan 	0.465 	0.000 	0.000 	0.168 	-inf 	
18	-nan 	-0.299 	-0.000 	0.000 	0.168 	-inf 	
19	-nan 	0.465 	0.000 	0.000 	0.168 	-inf 	
